Parameters:TimeZone=+0000
Google Click ID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
Cj0KCQjwjvfSBhDpARIsAEiOpSsDfuppOBCK1BrQqURZ3qNnRaFlj7GqArghPcs-r9IlCn6SbUBL1vMaAg-WEALw_wcB,Demande de devis (site),2026-07-20 07:33:54+0000,40,EUR
CjwKCAjwsfzSBhB5EiwAOGyqSdpMpJLoJ15fj2MfRSrmHnzTgto6KiQVVLdAm4_MzKV0jQYowRIArxoCAwwQAvD_BwE,Demande de devis (site),2026-07-21 07:38:27+0000,40,EUR
CjwKCAjwsfzSBhB5EiwAOGyqSdpMpJLoJ15fj2MfRSrmHnzTgto6KiQVVLdAm4_MzKV0jQYowRIArxoCAwwQAvD_BwE,Demande qualifiée (prospect cible),2026-07-21 07:38:42+0000,200,EUR
CjwKCAjwsfzSBhB5EiwAOGyqSV1bHdhIEOHByssvfhRrq_OR_Krl4iosz-11PuC17-yHaBLZBjZP7xoCK34QAvD_BwE,Demande de devis (site),2026-07-21 13:05:26+0000,40,EUR
CjwKCAjwsfzSBhB5EiwAOGyqSV1bHdhIEOHByssvfhRrq_OR_Krl4iosz-11PuC17-yHaBLZBjZP7xoCK34QAvD_BwE,Demande qualifiée (prospect cible),2026-07-21 13:05:44+0000,200,EUR
CjwKCAjw1IHTBhAaEiwA4AYNFuVtvah3nfcZFM6In6iu5-g-t1zO7oNYDSxYPPmKYWPQnpv9uC0g4RoC0IUQAvD_BwE,Demande de devis (site),2026-07-22 15:43:14+0000,40,EUR
CjwKCAjwvZHTBhAlEiwA1ug5P8RNKOvJY_hteM_Z4d1H0S-M-hQs3xoNoRo77o6D7dvc8c1fKDWdgBoCYbIQAvD_BwE,Demande de devis (site),2026-07-25 07:48:31+0000,40,EUR
Cj0KCQjw4JbTBhCoARIsALWUaBt6Q36xCegD-myyhcSb3XD0Y8ebIQxB4rw0uBtTRrfHbe5UpnLkcyMaAjvIEALw_wcB,Demande de devis (site),2026-07-27 04:49:44+0000,40,EUR
CjwKCAjwyabTBhBFEiwAM3mNUA9rk_DInCe_R8e6FJpAwg_aga2eOj9voodOCWTKk1BZUOG2Y0bl5BoCN0MQAvD_BwE,Demande de devis (site),2026-07-29 12:39:51+0000,40,EUR
CjwKCAjwsrbTBhAvEiwA0Bpp4TNtTuqre-FKqirbxFkZeOFws04WrFgZqzFGX_vmkVykRLR7LK0bORoCqEYQAvD_BwE,Demande de devis (site),2026-08-01 14:32:09+0000,40,EUR
Cj0KCQjw-MDTBhCgARIsAKAkdlSeOYv8bdSXUkvwV70qIq_f6GWSI-sIzl_g_gavvUxTBCI2zFIwWSIaAmaNEALw_wcB,Demande de devis (site),2026-08-03 09:55:33+0000,40,EUR
Cj0KCQjw-MDTBhCgARIsAKAkdlSeOYv8bdSXUkvwV70qIq_f6GWSI-sIzl_g_gavvUxTBCI2zFIwWSIaAmaNEALw_wcB,Demande qualifiée (prospect cible),2026-08-03 09:56:20+0000,200,EUR
Cj0KCQjw-MDTBhCgARIsAKAkdlSlso_fxpv-K8nzBRuFMJp6N-WZeEUbDH4SLbyib2yGe8KP8HSdFcQaApnyEALw_wcB,Demande de devis (site),2026-08-03 11:54:22+0000,40,EUR
Cj0KCQjw-MDTBhCgARIsAKAkdlSlso_fxpv-K8nzBRuFMJp6N-WZeEUbDH4SLbyib2yGe8KP8HSdFcQaApnyEALw_wcB,Demande qualifiée (prospect cible),2026-08-03 11:54:53+0000,200,EUR
Cj0KCQjw-MDTBhCgARIsAKAkdlTtmXIHwvCujHfDZQaiuExb_tZpd6uNYAicE_Dv0soplJV4LM_eJAcaAt-aEALw_wcB,Demande de devis (site),2026-08-04 06:14:47+0000,40,EUR
CjwKCAjwvsvTBhBaEiwAmf-3nhyqCn9YF8b3ek0BSa60DJh6PeUucx06Iac8cbk6khdatorYAQi6XRoC4LAQAvD_BwE,Demande de devis (site),2026-08-05 17:02:58+0000,40,EUR
CjwKCAjwvsvTBhBaEiwAmf-3nhyqCn9YF8b3ek0BSa60DJh6PeUucx06Iac8cbk6khdatorYAQi6XRoC4LAQAvD_BwE,Demande qualifiée (prospect cible),2026-08-05 17:03:58+0000,200,EUR
CjwKCAjwvsvTBhBaEiwAmf-3nnD81fN9PuYMrL1BYxY4LIzC25bOYRIgoN_7D2MXnZd5-LvYgblAjBoCa8oQAvD_BwE,Demande de devis (site),2026-08-05 22:18:15+0000,40,EUR
CjwKCAjw4dDTBhAqEiwAkHYmSjHYTq7G_HcUL-4ymu-F9qWzvDFdMpUl6LbQkQ0LlApsUWomXPa6iBoC9_sQAvD_BwE,Demande de devis (site),2026-08-06 07:45:58+0000,40,EUR
CjwKCAjw4dDTBhAqEiwAkHYmSpJK43OIK31wtsP7-huwu77aemtTALeamUTtC6tcHKtw8vHQ2e6QHxoCZUsQAvD_BwE,Demande de devis (site),2026-08-06 12:47:07+0000,40,EUR
Cj0KCQjwp9vTBhCWARIsANaUrjuavtsU4Zj2TSnnTqM9bjU0Jbu9XEMAwKfQdX7YkhU-DsHn871-zEsaAmriEALw_wcB,Demande de devis (site),2026-08-08 08:03:08+0000,40,EUR
Cj0KCQjwp9vTBhCWARIsANaUrjs3i2bq5DSUs_8V3sCQNou-RnmXok3d90nct5RbdozJVVlK08V3mLgaAn-UEALw_wcB,Demande de devis (site),2026-08-08 09:07:56+0000,40,EUR
CjwKCAjwyuDTBhB-EiwANCQhLB2_YTeLzsj9DE3QaRKcDQMdjuLxPtrm1yu3409AE3M-onbqcJM1ABoCPnUQAvD_BwE,Demande de devis (site),2026-08-10 04:29:38+0000,40,EUR
CjwKCAjwyuDTBhB-EiwANCQhLB2_YTeLzsj9DE3QaRKcDQMdjuLxPtrm1yu3409AE3M-onbqcJM1ABoCPnUQAvD_BwE,Demande qualifiée (prospect cible),2026-08-10 04:30:10+0000,200,EUR
EAIaIQobChMI5ovWxMmVlgMVdJRQBh0R0zveEAAYAiAAEgI7i_D_BwE,Demande de devis (site),2026-08-10 07:52:12+0000,40,EUR
EAIaIQobChMI5ovWxMmVlgMVdJRQBh0R0zveEAAYAiAAEgI7i_D_BwE,Demande qualifiée (prospect cible),2026-08-10 07:52:34+0000,200,EUR
EAIaIQobChMI8Yb_uKuWlgMVgzoGAB1TFiL-EAAYAyAAEgK_8PD_BwE,Demande de devis (site),2026-08-10 15:10:51+0000,40,EUR
EAIaIQobChMI7fm-5tuYlgMVxoODBx2LohY0EAMYAiAAEgK1AfD_BwE,Demande de devis (site),2026-08-11 14:01:07+0000,40,EUR
EAIaIQobChMI7fm-5tuYlgMVxoODBx2LohY0EAMYAiAAEgK1AfD_BwE,Demande qualifiée (prospect cible),2026-08-11 14:02:54+0000,200,EUR
EAIaIQobChMIx-qnh6aZlgMVxJdoCR20qxxHEAAYAiAAEgIVrvD_BwE,Demande de devis (site),2026-08-11 19:30:12+0000,40,EUR
CjwKCAjws_DTBhB_EiwAXZknGShpX3MwKx373_7xe7vNxALO1aWm9ovXUAmXrERy-6wrE9loHNQv7RoCfgQQAvD_BwE,Demande de devis (site),2026-08-12 07:08:08+0000,40,EUR
CjwKCAjws_DTBhB_EiwAXZknGVzm5jqVi8Nsw0CtE2Rzcup9pObeaRszp85uOrwhYbg_0wcmU9bz3hoCQ3UQAvD_BwE,Demande de devis (site),2026-08-12 08:25:35+0000,40,EUR
CjwKCAjws_DTBhB_EiwAXZknGVzm5jqVi8Nsw0CtE2Rzcup9pObeaRszp85uOrwhYbg_0wcmU9bz3hoCQ3UQAvD_BwE,Demande qualifiée (prospect cible),2026-08-12 08:25:58+0000,200,EUR
CjwKCAjw1vXTBhB-EiwAEKr_k_-5Yg9aG1wFNbRnr04QdWM4ZCYftCPxgiAGQd03r9M9zS3cqYoTXRoCFwsQAvD_BwE,Demande de devis (site),2026-08-13 12:18:11+0000,40,EUR
CjwKCAjw1vXTBhB-EiwAEKr_k1MetKljpEhOnqFCmGYw91wWZXK7LnmVB0YqcwJVMR9xKaftRzdhkBoC_IkQAvD_BwE,Demande de devis (site),2026-08-13 17:16:03+0000,40,EUR
EAIaIQobChMI-IbDzr-flgMVMaVQBh2S6gaOEAAYAyAAEgK_gfD_BwE,Demande de devis (site),2026-08-14 06:41:23+0000,40,EUR
EAIaIQobChMI-IbDzr-flgMVMaVQBh2S6gaOEAAYAyAAEgK_gfD_BwE,Demande qualifiée (prospect cible),2026-08-14 06:41:53+0000,200,EUR
Cj0KCQjwnIDUBhDrARIsAJDGwSstqkMll6sjZ_lhpuD_6qDMXpdWnOR0pZZ_laVT98FLh3RaUOFdu-8aAqLiEALw_wcB,Demande de devis (site),2026-08-15 12:13:15+0000,40,EUR
Cj0KCQjw4orUBhCjARIsAIbF3qwp047w9PWQkiG5tD9addUX8Iz2KxCU3EtTOVTbKq9nDGP3RoC6FRYaAiGOEALw_wcB,Demande de devis (site),2026-08-17 12:10:22+0000,40,EUR
Cj0KCQjw4orUBhCjARIsAIbF3qzORm4Ysrt66g5mnGGvXNbgfsz0Q8HGYOMcbzJII_WJFCX_nACR_1saAnCQEALw_wcB,Demande de devis (site),2026-08-17 16:17:22+0000,40,EUR
